,detector_1,detector_2,dist
0,1345,1353,2285
1,1345,1354,2285
2,1345,1355,2285
3,1345,1361,5284
4,1345,1362,5284
5,1345,1363,5284
6,1345,1809,7336
7,1345,1810,7336
8,1345,1811,7336
9,1345,1369,8109
10,1345,1370,8109
11,1345,1371,8109
12,1345,1949,10559
13,1345,1950,10559
14,1345,1951,10559
15,1345,1941,14557
16,1345,1942,14557
17,1345,1943,14557
18,1345,1856,1617
19,1345,1857,1617
20,1345,1858,1617
21,1345,1730,2856
22,1345,1731,2856
23,1345,1732,2856
24,1345,1417,5365
25,1345,1418,5365
26,1345,1419,5365
27,1345,1409,7407
28,1345,1410,7407
29,1345,1411,7407
30,1345,1401,11495
31,1345,1402,11495
32,1345,1403,11495
33,1345,1393,11545
34,1345,1394,11545
35,1345,1395,11545
36,1345,1953,10649
37,1345,1954,10649
38,1345,1955,10649
39,1345,1945,15115
40,1345,1946,15115
41,1345,1947,15115
42,1345,1385,17247
43,1345,1386,17247
44,1345,1387,17247
45,1345,1377,24745
46,1345,1378,24745
47,1345,1379,24745
48,1346,1353,2285
49,1346,1354,2285
50,1346,1355,2285
51,1346,1361,5284
52,1346,1362,5284
53,1346,1363,5284
54,1346,1809,7336
55,1346,1810,7336
56,1346,1811,7336
57,1346,1369,8109
58,1346,1370,8109
59,1346,1371,8109
60,1346,1949,10559
61,1346,1950,10559
62,1346,1951,10559
63,1346,1941,14557
64,1346,1942,14557
65,1346,1943,14557
66,1346,1856,1617
67,1346,1857,1617
68,1346,1858,1617
69,1346,1730,2856
70,1346,1731,2856
71,1346,1732,2856
72,1346,1417,5365
73,1346,1418,5365
74,1346,1419,5365
75,1346,1409,7407
76,1346,1410,7407
77,1346,1411,7407
78,1346,1401,11495
79,1346,1402,11495
80,1346,1403,11495
81,1346,1393,11545
82,1346,1394,11545
83,1346,1395,11545
84,1346,1953,10649
85,1346,1954,10649
86,1346,1955,10649
87,1346,1945,15115
88,1346,1946,15115
89,1346,1947,15115
90,1346,1385,17247
91,1346,1386,17247
92,1346,1387,17247
93,1346,1377,24745
94,1346,1378,24745
95,1346,1379,24745
96,1347,1353,2285
97,1347,1354,2285
98,1347,1355,2285
99,1347,1361,5284
100,1347,1362,5284
101,1347,1363,5284
102,1347,1809,7336
103,1347,1810,7336
104,1347,1811,7336
105,1347,1369,8109
106,1347,1370,8109
107,1347,1371,8109
108,1347,1949,10559
109,1347,1950,10559
110,1347,1951,10559
111,1347,1941,14557
112,1347,1942,14557
113,1347,1943,14557
114,1347,1856,1617
115,1347,1857,1617
116,1347,1858,1617
117,1347,1730,2856
118,1347,1731,2856
119,1347,1732,2856
120,1347,1417,5365
121,1347,1418,5365
122,1347,1419,5365
123,1347,1409,7407
124,1347,1410,7407
125,1347,1411,7407
126,1347,1401,11495
127,1347,1402,11495
128,1347,1403,11495
129,1347,1393,11545
130,1347,1394,11545
131,1347,1395,11545
132,1347,1953,10649
133,1347,1954,10649
134,1347,1955,10649
135,1347,1945,15115
136,1347,1946,15115
137,1347,1947,15115
138,1347,1385,17247
139,1347,1386,17247
140,1347,1387,17247
141,1347,1377,24745
142,1347,1378,24745
143,1347,1379,24745
144,1348,1353,2285
145,1348,1354,2285
146,1348,1355,2285
147,1348,1361,5284
148,1348,1362,5284
149,1348,1363,5284
150,1348,1809,7336
151,1348,1810,7336
152,1348,1811,7336
153,1348,1369,8109
154,1348,1370,8109
155,1348,1371,8109
156,1348,1949,10559
157,1348,1950,10559
158,1348,1951,10559
159,1348,1941,14557
160,1348,1942,14557
161,1348,1943,14557
162,1348,1856,1617
163,1348,1857,1617
164,1348,1858,1617
165,1348,1730,2856
166,1348,1731,2856
167,1348,1732,2856
168,1348,1417,5365
169,1348,1418,5365
170,1348,1419,5365
171,1348,1409,7407
172,1348,1410,7407
173,1348,1411,7407
174,1348,1401,11495
175,1348,1402,11495
176,1348,1403,11495
177,1348,1393,11545
178,1348,1394,11545
179,1348,1395,11545
180,1348,1953,10649
181,1348,1954,10649
182,1348,1955,10649
183,1348,1945,15115
184,1348,1946,15115
185,1348,1947,15115
186,1348,1385,17247
