,detectorid,latitude,longitude
0,1345,45.43324,-122.565775
1,1346,45.43324,-122.565775
2,1347,45.43324,-122.565775
3,1348,45.43324,-122.565775
5,1353,45.45322,-122.572585
6,1354,45.45322,-122.572585
7,1355,45.45322,-122.572585
9,1361,45.478984,-122.565617
10,1362,45.478984,-122.565617
11,1363,45.478984,-122.565617
13,1809,45.497415,-122.565244
14,1810,45.497415,-122.565244
15,1811,45.497415,-122.565244
17,1369,45.504373,-122.565148
18,1370,45.504373,-122.565148
19,1371,45.504373,-122.565148
21,1949,45.526397,-122.565153
22,1950,45.526397,-122.565153
23,1951,45.526397,-122.565153
25,1941,45.559917,-122.564161
26,1942,45.559917,-122.564161
27,1943,45.559917,-122.564161
29,1856,45.43321952,-122.56635457
30,1857,45.43321952,-122.56635457
31,1858,45.43321952,-122.56635457
33,1730,45.45687775,-122.57315129
34,1731,45.45687775,-122.57315129
35,1732,45.45687775,-122.57315129
37,1417,45.47907983,-122.56598979
38,1418,45.47907983,-122.56598979
39,1419,45.47907983,-122.56598979
41,1409,45.49741915,-122.56556869
42,1410,45.49741915,-122.56556869
43,1411,45.49741915,-122.56556869
45,1401,45.50438814,-122.56546676
46,1402,45.50438814,-122.56546676
47,1403,45.50438814,-122.56546676
49,1393,45.51868626,-122.5655821
50,1394,45.51868626,-122.5655821
51,1395,45.51868626,-122.5655821
53,1953,45.5263291,-122.56548554
54,1954,45.5263291,-122.56548554
55,1955,45.5263291,-122.56548554
57,1945,45.56092595,-122.56364822
58,1946,45.56092595,-122.56364822
59,1947,45.56092595,-122.56364822
61,1385,45.57114858,-122.54981339
62,1386,45.57114858,-122.54981339
63,1387,45.57114858,-122.54981339
65,1377,45.57461641,-122.54627556
66,1378,45.57461641,-122.54627556
67,1379,45.57461641,-122.54627556
